title,url,stage,day,time,lfm_id
DJ OX,,STONEBRIDGE,SUNDAY,16:00 - 18:00,11036689
DJ Pierre,,NYC DOWNLOW,THURSDAY,21:30 - 23:00,1644
DJ Pony,http://www.ponymontana.net,GLADE LOUNGE,THURSDAY,22:30 - 00:00,14108847
DJ SKT,https://www.facebook.com/djskt,THE BLUES,SUNDAY,14:30 - 16:00,78956711
DJ Target,,WOW!,SATURDAY,20:00 - 20:20,2100444
dj vj,,ANCIENT FUTURES,FRIDAY,01:30 - 03:00,10533266
DJ Yoda Presents Breakfast of Champions,http://www.djyoda.co.uk/,GLADE,SUNDAY,14:20 - 15:20,92920024
Djanan Turan,http://www.djananturan.co.uk/,RABBIT HOLE,SUNDAY,17:00 - 18:00,32378634
Django Django,http://www.djangodjango.co.uk/,JOHN PEEL STAGE,SUNDAY,16:40 - 17:30,31735926
Django,,THE CAVE,SATURDAY,22:00 - 23:00,6678553
DJuggledy,http://www.djuggledy.com,A LITTLE MORE SENSATION,FRIDAY,15:20 - 15:50,42351699
Doc Brown,,CABARET,FRIDAY,22:20 - 22:50,2023769
Documentary Films,,THE BREAD AND ROSES,FRIDAY,11:00 - 16:00,46658216
Dolores Delight,,CROONER'S CORNER,FRIDAY,17:00 - 17:30,80073229
Don Johnston,,THE HOUSE OF COME ONS,THURSDAY,21:00 - 22:00,13824173
Don Letts,https://www.facebook.com/pages/Don-Letts/105585732808584,GLADE,FRIDAY,16:35 - 17:35,10074722
Donald Grant,http://www.donaldgrantdiabolo.com,THE SUMMER HOUSE,FRIDAY,15:35 - 15:42,49727630
donJohnston,http://donjohnstonmusic.uk/,HEAVEN,SATURDAY,20:00 - 21:00,64744053
Donovan,http://www.donovan.ie,ACOUSTIC STAGE,SUNDAY,21:30 - 23:00,1186
Doomtree,http://www.doomtree.net/,SONIC,SUNDAY,12:00 - 13:00,10472478
Doreen Doreen,http://www.doreendoreen.co.uk/ub8n5xfvh8o7vx26ddlbsjb66f0tby,THE SUMMER HOUSE,FRIDAY,01:05 - 02:05,18625288
Dorian Concept,http://ninjatune.net/artist/dorian-concept#.VVDK4PnF_40,WEST HOLTS,FRIDAY,13:00 - 14:00,6994536
Dornik,https://www.facebook.com/dornikmusic,LA PUSSY PARLURE,SATURDAY,15:00 - 16:00,56839441
Double Agent 7,,DELUXE DINER,Friday,22:00 - 23:30,83843796
